symbol,price_mean,volume_mean,market_mean,range_mean,vol_ratio_mean
DICE,2.192766383244207,99287.19607843137,15353316.659536542,1.4551546827094475,0.010512002878099282
DIG,0.0883622995391705,968416.5576036866,14200046.396313364,0.015796645161290323,0.009880809348168323
DIM,0.009568147928994082,130790.48520710059,6874606.769230769,0.0036718934911242605,0.0066316107309920885
DIME,8.780503741092636e-06,21870.872327790974,4573681.808194774,4.288198159144893e-06,0.004228249145930484
DIN,0.0110542875,789.3,72902.1,0.002670625,0.010369737083716819
DIT,0.0024664375,1635.7625,476685.6375,0.0006668374999999999,0.003465459240150727
DIVI,0.008489142857142857,45543.63265306123,1890849.4897959183,0.0018876122448979592,0.0041128283963893
DIVX,2.1291221603260873,212185.27445652173,10694100.282608695,0.44704754076086956,0.02140266998239798
DIX,0.09376171560722892,2814.496987951807,236912.9171686747,0.015088564032304219,214.35986404104253
DKPC,0.10238854838709678,52045.1935483871,0.0,0.03343325806451612,0.0
DLC,0.01246419072847682,782.7933774834437,108975.1642384106,0.004568512582781457,0.00407992585296082
DLT,0.22469814541387026,1450217.3445190156,19319828.9753915,0.060464161073825504,0.07959254459950134
DMB,0.004641862567811935,3782.9403254972876,102127.56600361664,0.0020152839059674505,1.9431259482157526
DMC,0.28303876933514244,170627.5698778833,0.0,0.00909554409769335,0.0
DMD,2.347713168975069,36314.444875346264,5810874.894182825,0.35780116565096953,0.0048398579089317766
DML,0.025150082524271845,4761.3932038834955,138776.18446601942,0.006807723300970873,0.00024472780413766973
DMT,0.3337153287197232,2045505.384083045,12459944.823529411,0.06041889619377163,0.09612605288563993
DNA,0.21023193866666667,145574.93066666665,11509277.296,0.05582164266666667,0.011827016715669162
DNT,0.06487119421487603,3719637.1859504133,38881330.36363637,0.013263512396694216,0.08255919753415922
DNZ,0.03788458510638298,1430.9468085106382,0.0,0.026567436170212767,0.0
DOCK,0.051880552511415524,2669773.616438356,15630324.885844748,0.00788883105022831,0.18825842867136208
DOGE,0.0013023718871057,6050273.28555617,142206366.57111233,0.0001488660763696735,0.02585803762876254
DOLLAR,0.024993874105865524,307.38912732474967,17504.782546494993,0.007409593705293277,0.043495046473987234
DOPE,0.013047627906976745,87115.10174418605,1500368.8779069767,0.0026080127906976747,0.021045493610997872
DOR,0.004395218543046357,350247.67549668875,473552.1059602649,0.0009058211920529802,0.25586247347201424
DOT,0.005825784682080925,38371.17485549133,1638893.7738439306,0.001058840317919075,0.017247054610035884
DOV,0.11643745226130653,63814.22864321608,8242712.211055276,0.03522613819095478,0.01090625814393571
DOW,0.33335862765957447,1592.276595744681,1463016.2872340425,0.059079223404255324,0.0010741725207281548
DP,0.02422724393530997,4284.167115902965,427502.92115902965,0.007330989218328841,0.01693933995367222
DPN,0.00267816393442623,395050.95081967214,0.0,0.0002525327868852459,0.0
DPY,1.0678933126614987,1953218.4987080104,36479157.45219638,0.1868195968992248,0.06647575566795846
DRG,0.3867865882352941,1171032.4862745097,0.0,0.06921738431372548,0.0
DRGN,0.8147101132596686,2299400.364640884,193754229.3121547,0.15223529558011048,0.014051193936923343
DRM,0.018495752617801047,597.0732984293194,44269.71073298429,0.005161460732984294,0.009892310304944214
DROP,0.00445339453125,259878.125,84125454.421875,0.00077478515625,0.003344533253885013
DRPU,0.22892004406779662,11085.128813559322,503200.12542372884,0.05335443728813559,0.008077366929012926
DRT,0.024649407862407862,97954.59213759213,13413147.572481573,0.007204722358722359,0.013323192933478225
DRXNE,0.00586369837587007,5102.269141531323,398286.52436194895,0.0021808491879350346,0.007326284391394877
DSR,0.42353837532133676,30439.884318766068,427157.8329048843,0.16521288688946018,0.10965391644233076
DT,1.1351737105263158,0.0,0.0,0.0974058157894737,0.0
DTA,0.00988884294871795,6101634.105769231,34129398.83974359,0.0016647916666666666,0.10782198112568274
DTB,0.5624608737704918,107556.30655737704,11079733.03442623,0.0987207606557377,0.00469805444904251
DTC,0.03060585758039816,376.7840735068913,90531.23889739663,0.007863198315467074,0.010799327033030893
DTEM,0.0758719831932773,775.9327731092437,176652.42016806724,0.01963220168067227,0.004061860939592005
DTH,0.04878101736111111,36617.90972222222,2868376.138888889,0.008700052083333333,0.011439461616900288
DTR,0.05537072753623188,58481.333333333336,62065122.023188405,0.009926614492753623,0.0006075975526864766
DTRC,0.003376424870466321,310909.0621761658,396777.9792746114,0.0006506321243523315,1.7586628709049925
DTX,0.018827422535211268,774311.485915493,364031.2957746479,0.004967556338028169,0.3967209559193631
DUO,0.30528603113879005,494.38967971530246,93970.78736654804,0.11035896975088967,0.00808293028569456
DUTCH,0.0005215728900255755,4083.452685421995,0.0,0.000194769820971867,0.0
DWS,0.07619217021276595,35818.92907801418,0.0,0.04081073758865248,0.0
DX,0.00033266071428571427,150264.4017857143,1445928.3125,4.208928571428571e-05,0.029833966577488484
DXT,0.037274353741496596,396916.3843537415,9986172.952380951,0.006563537414965986,0.027407142489030267
DYN,1.84405667752443,333556.62703583064,5388831.035830619,0.30729529641693815,0.03894583294251978
EAG,0.5676676596306068,75569.06596306068,0.0,0.1930435461741425,0.0
EARTH,0.004449078341013825,67773.82027649769,652723.7834101382,0.000761294930875576,0.11776502747087689
EBC,0.0016187563025210083,77978.98319327731,3434211.68907563,0.00027236974789915966,0.008996049934242474
EBET,0.08138562980769232,3602.0721153846152,692018.5072115385,0.02957001201923077,0.0033015548522446927
EBST,0.1847051328413284,532618.5147601475,2394871.103321033,0.043403158671586714,0.1440377144230288
EBTC,0.24324339746835444,124297.09113924051,4551779.420253164,0.06326263037974683,0.01869573659252537
ECA,0.0008739214145383104,188858.6876227898,21430947.944990177,0.00022821021611001965,0.007878747337393814
ECASH,0.04853484223300971,26952.400485436894,670140.963592233,0.018666842233009708,0.01451550782599124
ECC,0.00023036411247803163,17194.595782073815,5644428.761570006,6.360460808435852e-05,0.002608820612821806
ECO,0.37400078804347825,12801.84963768116,157002.8677536232,0.10536390217391305,0.05775142482676686
ECOB,0.02138052455795678,4202.265225933203,9074952.526522594,0.00536781532416503,0.00022351164059037013
